N,Theoretical_Bound,Err_Sin_PI_4,Err_Cos_PI_4,Err_Sinh_0_5,Err_Cosh_0_5,Err_Exp_1_0,Err_Ln_2_0,Err_Sqrt_2_0
1,5.0000000000e-01,9.9853846178e-02,9.9853846178e-02,8.2653228388e-02,7.9871102557e-02,1.5107847607e+00,4.0546510811e-01,9.5157772331e-02
2,2.5000000000e-01,2.0377262133e-01,4.0348031368e-01,2.1922103855e-01,7.1066030914e-02,3.0046084095e-01,1.0536051566e-01,1.9689205596e-02
3,1.2500000000e-01,1.2786600445e-01,1.7576046305e-01,8.7151046766e-02,3.3331747546e-02,3.4102197630e-01,1.4595391262e-01,1.0255634754e-02
4,6.2500000000e-02,6.1447714684e-02,7.1388864849e-02,5.1330825202e-02,2.5185871583e-02,6.6453771563e-01,1.0437237328e-01,2.8488076473e-03
5,3.1250000000e-02,2.1715344913e-02,2.3354208857e-02,1.5305455302e-02,7.2975549983e-03,1.7042680537e-01,4.1852016304e-02,5.3993197129e-04
6,1.5625000000e-02,3.4807702769e-04,5.7851741660e-04,2.4277247011e-03,1.0837068891e-03,8.7374940974e-03,1.0599472799e-02,7.7419118640e-05
7,7.8125000000e-03,1.0691427094e-02,1.0475464743e-02,6.3733866920e-03,2.9683835858e-03,1.2567344360e-02,5.0258451036e-03,1.8862093479e-05
8,3.9062500000e-03,5.0853157974e-03,5.0347197891e-03,1.9570025171e-03,9.0795900698e-04,1.9981471566e-03,2.7866946332e-03,4.9798705404e-06
9,1.9531250000e-03,2.3035130592e-03,2.2924484400e-03,2.4716530365e-04,1.1362753211e-04,7.3033887216e-03,1.1195603339e-03,1.1312448847e-06
10,9.7656250000e-04,9.1796768884e-04,9.1587955691e-04,8.5392096361e-04,3.9501322980e-04,6.4929272596e-04,8.3356528702e-04,3.5814990951e-07
11,4.8828125000e-04,2.2653930921e-04,2.2624204373e-04,3.0312947023e-04,1.4015520907e-04,6.7831036056e-04,1.4299729059e-04,7.0347281556e-08
12,2.4414062500e-04,1.1883814354e-04,1.1891432438e-04,2.7795944738e-05,1.2860669281e-05,1.3127701474e-03,3.4528396912e-04,4.5661158854e-08
13,1.2207031250e-04,5.3766316143e-05,5.3748180344e-05,2.7788179399e-05,1.2843866154e-05,6.7843183702e-04,1.4299728331e-04,7.1270052082e-09
14,6.1035156250e-05,3.2556990665e-05,3.2562002135e-05,4.1037431506e-05,1.8962963294e-05,1.8078329281e-04,2.0926970657e-05,9.5547503243e-10
15,3.0517578125e-05,1.0599394784e-05,1.0598357861e-05,6.6255967209e-06,3.0616489612e-06,6.8076416515e-05,4.0108185611e-05,5.0388804240e-10
16,1.5258789062e-05,1.0980115090e-05,1.0980505109e-05,1.0580563306e-05,4.8895332883e-06,2.6597688719e-05,9.5906074832e-06,7.1136874169e-11
17,7.6293945312e-06,1.9068942070e-07,1.9074434676e-07,1.9774226301e-06,9.1381089096e-07,3.5618821056e-05,5.6681815788e-06,1.9397594642e-11
18,3.8146972656e-06,5.2041057335e-06,5.2040537175e-06,2.3241325420e-06,1.0740174894e-06,4.5108033295e-06,1.9612129533e-06,4.1082692803e-12
19,1.9073486328e-06,2.5066875768e-06,2.5066752649e-06,1.7335874747e-07,8.0111503875e-08,9.6955058546e-06,1.8534843127e-06,1.4632739465e-12
20,9.5367431641e-07,1.1579836434e-06,1.1579808937e-06,9.0202909764e-07,4.1684354013e-07,1.9184570110e-06,5.3864319338e-08,2.1316282073e-13
21,4.7683715820e-07,4.8363296290e-07,4.8363242189e-07,3.6433493811e-07,1.6836550532e-07,3.2146338786e-06,8.9980999662e-07,1.9495516312e-13
22,2.3841857910e-07,1.4645794422e-07,1.4645786439e-07,9.5487917573e-08,4.4126616139e-08,1.2703688870e-06,4.2297283864e-07,4.3298697960e-14
23,1.1920928955e-07,2.2129484800e-08,2.2129494681e-08,3.8935577873e-08,1.7992796364e-08,2.9823584935e-07,1.8455425865e-07,7.5495165675e-15
24,5.9604644775e-08,6.2164209558e-08,6.2164205006e-08,2.8276166186e-08,1.3066901783e-08,1.3621364436e-07,6.5344968658e-08,2.2204460493e-16
